I 150
J 15
bounds (0, 100)
cv 0.5
D 25
k 5
t 3
FLR 0.4
FCR 2
abounds (80, 120)

a 
102.0 89.0 92.0 
88.0 91.0 99.0 
85.0 80.0 100.0 
85.0 88.0 89.0 
105.0 104.0 105.0 
96.0 95.0 88.0 
83.0 109.0 97.0 
86.0 99.0 86.0 
110.0 95.0 109.0 
88.0 113.0 95.0 
87.0 89.0 103.0 
107.0 85.0 104.0 
100.0 97.0 100.0 
101.0 91.0 105.0 
104.0 96.0 81.0 
90.0 93.0 86.0 
95.0 85.0 85.0 
91.0 97.0 85.0 
81.0 106.0 91.0 
82.0 84.0 87.0 
81.0 97.0 87.0 
92.0 95.0 99.0 
98.0 84.0 98.0 
81.0 81.0 82.0 
114.0 86.0 83.0 
99.0 98.0 105.0 
97.0 80.0 98.0 
92.0 81.0 94.0 
95.0 112.0 75.0 
103.0 85.0 91.0 
90.0 85.0 87.0 
101.0 91.0 99.0 
75.0 108.0 98.0 
91.0 93.0 103.0 
91.0 83.0 89.0 
94.0 100.0 87.0 
82.0 97.0 93.0 
73.0 95.0 90.0 
90.0 101.0 87.0 
86.0 112.0 86.0 
88.0 96.0 87.0 
111.0 101.0 91.0 
102.0 86.0 85.0 
71.0 96.0 77.0 
106.0 97.0 95.0 
99.0 87.0 86.0 
103.0 73.0 83.0 
84.0 100.0 83.0 
79.0 84.0 106.0 
95.0 95.0 77.0 
77.0 82.0 103.0 
74.0 89.0 84.0 
89.0 92.0 94.0 
85.0 95.0 86.0 
69.0 74.0 99.0 
84.0 80.0 96.0 
92.0 99.0 88.0 
82.0 96.0 89.0 
88.0 85.0 84.0 
87.0 85.0 64.0 
93.0 82.0 80.0 
93.0 93.0 93.0 
99.0 107.0 95.0 
85.0 84.0 98.0 
92.0 91.0 91.0 
97.0 81.0 90.0 
101.0 98.0 105.0 
97.0 93.0 88.0 
77.0 87.0 95.0 
86.0 86.0 88.0 
94.0 85.0 96.0 
82.0 86.0 72.0 
95.0 107.0 95.0 
97.0 87.0 88.0 
74.0 83.0 97.0 
113.0 79.0 89.0 
91.0 96.0 96.0 
71.0 89.0 82.0 
103.0 79.0 82.0 
89.0 78.0 97.0 
102.0 78.0 76.0 
77.0 103.0 98.0 
75.0 98.0 92.0 
89.0 92.0 92.0 
80.0 101.0 95.0 
105.0 93.0 102.0 
92.0 102.0 87.0 
91.0 91.0 103.0 
95.0 88.0 98.0 
92.0 98.0 86.0 
93.0 89.0 91.0 
71.0 107.0 99.0 
99.0 105.0 81.0 
85.0 90.0 82.0 
99.0 109.0 91.0 
76.0 104.0 96.0 
81.0 92.0 82.0 
93.0 90.0 91.0 
82.0 92.0 90.0 
85.0 89.0 91.0 
78.0 99.0 92.0 
98.0 90.0 90.0 
109.0 86.0 85.0 
92.0 73.0 85.0 
93.0 94.0 108.0 
69.0 79.0 80.0 
97.0 80.0 98.0 
90.0 104.0 82.0 
76.0 95.0 91.0 
94.0 83.0 106.0 
96.0 87.0 90.0 
100.0 69.0 95.0 
86.0 81.0 108.0 
93.0 101.0 93.0 
99.0 89.0 106.0 
73.0 93.0 90.0 
92.0 96.0 96.0 
