I 150
J 15
bounds (0, 100)
cv 1.0
D 100
k 5
t 3
FLR 0.6
FCR 2
λbounds (80, 120)

λ 
97.7449 96.7766 91.3226 
112.4387 98.8361 107.335 
82.4622 106.2616 94.0528 
115.7804 94.6258 87.3274 
94.7398 100.5465 118.4215 
114.7735 111.154 82.8041 
110.2516 98.8061 113.5193 
89.8174 106.6376 89.752 
89.2796 107.201 107.793 
80.8726 115.3345 106.7732 
116.5258 112.8296 93.0583 
103.6327 108.1846 91.7471 
100.2957 81.143 81.9449 
114.005 91.9099 108.0093 
118.5462 114.0811 112.4651 
89.0718 85.1825 116.7416 
90.7375 116.648 112.3441 
110.2704 85.9283 83.2519 
112.8572 100.5658 80.084 
96.112 86.5356 83.3322 
110.132 86.2396 90.0078 
98.8586 112.1122 113.3086 
116.452 80.8547 104.1783 
113.124 106.8405 106.0854 
94.1333 115.1087 102.7406 
110.7522 103.6495 118.3373 
97.6599 103.2151 106.2658 
100.7584 100.8459 84.5823 
92.5411 81.1802 100.376 
104.6148 115.4415 99.0199 
106.7506 83.2153 109.7236 
100.6788 85.7812 89.9643 
93.4007 113.6054 88.1883 
102.5947 101.4884 87.5501 
109.1193 114.0237 95.521 
101.3051 90.4135 114.8536 
89.8157 109.0486 89.1687 
89.5431 119.5515 112.4392 
108.6744 115.222 84.5356 
114.7153 85.8195 92.9537 
99.1562 110.6389 94.6989 
100.2641 114.4631 106.3947 
80.6573 109.5102 100.1126 
112.3297 90.7797 102.2754 
92.9829 118.7328 94.109 
107.2549 80.1333 106.002 
95.1482 86.989 98.8858 
119.0725 95.5855 97.4929 
119.7775 98.3224 109.1433 
95.5528 101.0455 107.1568 
93.1123 119.8261 104.8488 
89.4537 99.49 117.4076 
102.6088 105.6877 89.1544 
89.9306 80.9441 97.9055 
104.1576 114.1498 107.0929 
85.2485 101.2736 113.9087 
99.4314 93.9298 102.8064 
100.754 118.3147 111.6102 
89.637 93.6627 99.8597 
81.5981 83.4875 81.0973 
115.6815 82.6769 82.8528 
112.0277 80.1878 80.4165 
100.022 119.0357 81.8374 
81.5969 102.7785 119.6623 
117.3524 97.2541 114.4543 
116.2955 102.8157 88.5043 
91.3586 109.0744 114.8993 
93.9592 89.3762 90.7944 
87.7956 118.9374 89.6436 
102.7368 100.3251 84.4214 
118.8044 91.5039 88.838 
96.4703 106.5748 112.9309 
98.8571 107.8635 104.0886 
98.4794 86.2265 85.7075 
117.6752 112.1838 99.9733 
108.4877 97.9206 100.688 
82.225 88.2757 98.3259 
118.216 108.0735 80.3432 
92.2007 107.5936 94.3253 
109.8528 87.9608 87.2497 
98.0843 80.3766 118.5567 
110.626 100.457 91.962 
93.1233 92.6045 109.7583 
89.7792 106.5865 115.3192 
97.9998 83.0533 91.2741 
83.2336 100.9162 87.6962 
114.8719 97.9235 106.9193 
118.3271 91.2424 91.9989 
85.9182 116.2027 104.1567 
91.7331 102.1417 108.0421 
97.8102 117.4927 107.9182 
96.941 91.2128 116.7877 
86.0607 100.189 86.0377 
96.9334 92.1199 81.9144 
110.9375 97.738 117.2112 
118.6966 105.5088 86.6683 
86.4666 106.7133 113.9624 
94.4485 114.4292 112.9483 
117.105 85.9952 82.255 
112.6962 95.7252 80.073 
115.1222 117.876 91.6676 
117.1813 111.0645 111.0314 
98.1815 89.3847 88.6698 
117.1412 118.9043 97.4386 
93.3562 111.1788 116.7758 
86.8317 112.76 105.188 
108.1985 111.5256 101.3173 
80.0785 112.6839 98.4026 
106.6631 85.9628 97.7307 
103.4875 108.5644 94.9211 
89.6604 91.0406 82.9934 
112.3382 115.0159 112.5419 
113.2735 99.8924 111.8693 
105.1471 94.7769 81.4114 
97.8924 112.8153 104.5591 
113.4681 84.3307 84.0694 
103.2044 117.1972 86.3068 
89.9861 94.6542 93.1301 
96.7484 95.0598 118.6969 
90.4556 108.0074 90.9765 
82.0105 105.9739 89.3798 
86.027 90.2559 109.1717 
105.7328 81.3136 106.5666 
104.0583 87.3043 88.8658 
104.9016 88.4544 117.6425 
83.4897 93.3218 119.4278 
86.6372 105.2281 105.397 
113.9235 112.9031 94.2464 
105.6058 115.2288 104.2198 
117.4877 90.675 102.6252 
86.9407 96.8941 102.169 
92.3879 114.5555 87.3948 
95.3907 94.0426 95.094 
114.6069 118.4922 116.1347 
91.4167 112.7899 82.6263 
103.9601 89.3156 93.9983 
90.187 101.3951 82.0815 
91.0921 118.7732 87.9081 
86.9283 95.2458 92.7886 
105.0228 118.5788 97.3388 
82.1786 91.5093 97.1463 
85.0308 105.651 115.0766 
88.4847 94.8696 118.0181 
112.4689 106.2199 81.4257 
88.493 104.5053 114.9612 
118.3392 109.8205 118.1103 
115.4461 96.0692 106.7028 
115.9552 119.5959 111.4201 
115.8565 98.7025 104.9599 
113.9733 118.3925 87.7772 

Icoords
41.1198 56.3254
47.5769 49.297
43.4581 42.9636
0.4999 67.8661
26.9184 19.5929
75.4396 97.8903
86.12 28.4132
16.4865 43.559
99.1032 28.7735
11.6668 13.2968
84.6795 70.274
73.4723 7.2498
49.0701 82.1255
33.0593 92.4564
73.9353 89.0265
93.4486 40.7142
24.8128 22.0099
84.2952 52.0598
19.2404 75.0251
10.963 2.8732
25.8637 13.9822
83.4267 31.1832
6.3027 28.0934
60.3573 39.4127
27.332 35.2702
17.9854 18.6646
16.7116 67.9836
21.0615 19.8289
99.4361 70.9224
15.1375 39.0262
94.2278 86.1181
71.9581 88.1247
15.0681 29.7649
32.8464 84.4815
28.5892 43.4485
13.7758 67.532
55.1878 28.6258
31.24 69.6896
11.1603 29.33
97.8254 93.9735
82.879 3.3056
69.3326 74.8719
23.1641 74.8111
84.0481 29.0869
64.6942 39.8365
19.8812 57.2919
21.8407 70.8394
