I 250
J 25
bounds (0, 100)
cv 1.0
D 1
k 5
t 3
λbounds (80, 120)

λ 
91.8003 82.8869 95.436 
90.4476 82.6225 85.3036 
82.631 98.2197 82.7676 
105.4385 92.8885 110.5587 
102.881 81.244 98.9929 
117.0404 110.1417 112.9708 
89.9931 90.3632 101.7131 
90.878 84.8114 88.598 
101.6687 106.4383 109.4824 
104.0987 82.9272 90.9297 
111.439 113.713 83.6865 
115.2268 104.1687 86.9733 
111.6534 113.2585 106.9748 
100.084 106.0025 107.9631 
80.8069 91.2509 99.6406 
107.4783 98.4692 85.918 
101.2617 98.1511 105.1653 
108.0393 118.8135 112.9436 
91.1781 81.066 80.0916 
97.4628 97.5118 98.5699 
93.3024 101.0485 84.2763 
87.8922 112.3765 116.6338 
88.1924 80.7747 87.7707 
92.7852 82.9904 88.2854 
119.3377 119.7 82.7714 
119.7392 85.8155 119.8577 
85.5279 98.0237 99.3097 
85.8151 93.3126 106.1115 
94.211 111.0587 96.5248 
81.3622 92.8447 81.3853 
119.7293 102.205 107.9979 
80.1902 82.5276 110.9862 
96.6361 92.2795 94.2524 
91.7602 114.6159 105.3346 
102.0007 110.7788 105.4361 
91.6521 82.1704 102.7121 
108.5524 80.0527 88.1645 
100.502 87.3848 119.8054 
111.3885 115.2775 116.7165 
85.8708 93.3358 88.051 
110.1417 112.807 96.7322 
87.8012 103.7335 104.8782 
101.7598 108.6269 111.7779 
107.2697 85.761 97.3289 
105.2085 112.6051 95.1559 
81.3 86.0382 80.318 
91.2024 85.4172 101.247 
94.3864 93.7603 116.9478 
86.7514 110.1941 86.7704 
107.6227 84.0484 118.3527 
80.2327 110.5791 87.5953 
109.1019 104.9437 84.8653 
111.5918 89.1672 86.5141 
89.293 103.1859 83.7348 
91.8058 113.7788 101.4793 
101.7714 86.8587 107.0351 
95.3609 84.7712 102.496 
83.7061 116.5875 82.7749 
117.5362 101.4441 84.5641 
116.6729 102.9336 97.8214 
103.6852 88.6745 111.2993 
95.6049 114.1353 91.5945 
102.6935 117.0289 100.2052 
97.1444 109.6498 85.277 
95.9593 95.7686 105.027 
87.3448 104.6328 119.9289 
82.2651 102.5615 83.09 
84.315 100.511 113.8086 
111.8765 82.4251 105.9168 
93.7439 118.7736 85.4941 
89.9249 118.6023 107.2377 
101.4783 86.8884 86.237 
102.3188 113.8199 83.2146 
113.1979 83.7785 97.3301 
119.0783 84.8542 81.0586 
105.9334 115.4806 95.0196 
82.7191 81.9518 102.0113 
88.1262 110.6303 114.8956 
95.9867 109.2142 99.9641 
96.4088 108.8815 110.1699 
113.6292 87.1099 116.0372 
113.3163 104.7602 103.3252 
98.9848 97.2829 84.1629 
104.7332 94.9318 103.2562 
97.7832 93.7739 100.871 
98.222 107.4162 83.0894 
82.3703 105.5595 113.7604 
108.9049 90.1223 111.5138 
91.4918 98.9819 92.1614 
112.8975 100.7135 119.1583 
114.8253 118.6686 81.4086 
83.7655 103.6601 103.8935 
101.8156 87.4567 91.2745 
80.9813 90.7664 92.1229 
97.6775 87.396 96.3569 
115.7257 104.5324 118.9853 
86.8101 117.217 86.9785 
80.508 119.6543 109.9796 
88.2687 110.1967 107.5121 
115.089 83.6894 104.5543 
81.5088 101.5346 81.6632 
89.366 115.2412 102.2963 
99.822 94.3251 117.8453 
91.0942 113.5203 93.0793 
86.6881 113.058 111.3293 
81.357 113.4422 115.0832 
119.381 113.6332 82.3885 
109.1418 118.2769 112.9616 
109.13 91.4265 101.5322 
93.9586 114.9007 85.5327 
100.3844 83.5085 89.8244 
103.6875 86.2505 85.2998 
112.0577 111.8962 110.9937 
104.3516 98.0239 89.7691 
114.7898 92.4486 95.1981 
86.1039 108.1831 89.0841 
102.8992 99.8036 107.9803 
112.8229 96.4163 102.8472 
117.5442 112.7949 118.8388 
87.7442 96.641 84.7079 
111.863 108.1003 112.6486 
98.0895 88.45 116.6315 
100.206 100.2442 108.58 
105.4311 106.0696 88.2236 
83.4088 82.4082 117.9563 
90.7308 112.9862 109.9215 
81.8874 99.5316 89.5642 
97.0407 104.0734 99.8238 
116.6687 108.0145 92.8525 
102.7823 84.3556 110.3705 
100.4481 109.0658 113.0925 
100.6631 98.9067 104.0629 
107.1197 100.2004 117.5996 
113.4389 110.0043 118.1767 
113.5076 88.4093 105.7926 
86.1229 96.1514 106.4254 
88.488 113.5722 82.5313 
105.9058 95.6294 113.9687 
96.4633 90.2472 99.9451 
107.6204 91.2078 92.9508 
111.8423 94.1377 94.5683 
110.7954 115.1611 85.5306 
95.8291 112.6907 108.8984 
115.1965 104.8064 93.1402 
103.9311 106.8875 89.562 
109.3214 119.9899 112.2309 
91.1845 102.5265 83.4618 
80.9207 112.5463 89.1689 
96.9756 108.3218 81.2364 
103.3453 118.9665 100.2254 
95.6695 98.4555 117.6847 
109.622 91.7549 82.0363 
89.546 105.6309 88.3353 
113.4871 111.0427 112.6835 
86.4012 94.9774 102.8314 
95.4425 82.6408 109.5033 
93.5908 94.4684 92.4348 
84.9934 90.0578 100.0643 
102.1857 101.4362 84.0806 
106.9721 88.3821 115.3152 
98.0322 99.7047 81.3944 
108.3469 113.8181 90.4427 
102.85 113.8361 117.5107 
117.9504 108.7332 107.2609 
103.3091 116.0524 89.671 
80.9043 104.4965 115.1511 
90.8892 115.7334 108.9446 
111.1929 90.9773 99.5246 
94.7098 99.3347 102.1876 
87.5478 113.8181 85.8136 
112.5567 96.7777 112.8575 
108.8252 104.1438 103.3715 
106.304 81.4586 88.3419 
104.9636 109.6993 95.2313 
82.2374 95.5893 112.2336 
80.5349 119.8819 103.0245 
109.1398 112.1916 100.2656 
112.0724 82.3554 101.6004 
112.3365 119.2373 107.9969 
98.6607 99.8274 96.0266 
