I 150
J 15
bounds (0, 100)
cv 0.5
D 10
k 5
t 3
FLR 0.8
FCR 4
abounds (80, 120)

a 
78.0 105.0 83.0 
76.0 72.0 69.0 
93.0 95.0 87.0 
71.0 73.0 82.0 
98.0 72.0 77.0 
96.0 85.0 87.0 
82.0 95.0 72.0 
76.0 75.0 67.0 
87.0 79.0 72.0 
81.0 79.0 92.0 
88.0 69.0 100.0 
78.0 76.0 90.0 
80.0 85.0 89.0 
77.0 84.0 96.0 
76.0 84.0 70.0 
83.0 86.0 84.0 
79.0 89.0 84.0 
76.0 95.0 70.0 
87.0 90.0 84.0 
98.0 75.0 72.0 
90.0 70.0 90.0 
86.0 98.0 73.0 
83.0 76.0 74.0 
68.0 76.0 92.0 
80.0 88.0 93.0 
105.0 88.0 77.0 
81.0 66.0 86.0 
78.0 64.0 91.0 
83.0 78.0 85.0 
76.0 72.0 73.0 
89.0 77.0 88.0 
71.0 73.0 69.0 
73.0 88.0 83.0 
79.0 71.0 87.0 
90.0 84.0 89.0 
89.0 64.0 84.0 
72.0 101.0 75.0 
67.0 78.0 92.0 
88.0 75.0 73.0 
79.0 88.0 94.0 
71.0 73.0 86.0 
96.0 95.0 65.0 
85.0 77.0 57.0 
98.0 90.0 101.0 
80.0 73.0 89.0 
79.0 77.0 80.0 
81.0 75.0 78.0 
81.0 81.0 75.0 
95.0 76.0 93.0 
86.0 72.0 78.0 
93.0 67.0 82.0 
81.0 91.0 86.0 
84.0 97.0 73.0 
86.0 88.0 100.0 
74.0 83.0 103.0 
80.0 69.0 83.0 
78.0 89.0 86.0 
88.0 82.0 78.0 
75.0 83.0 93.0 
89.0 88.0 82.0 
92.0 87.0 85.0 
94.0 77.0 87.0 
84.0 76.0 84.0 
87.0 82.0 72.0 
77.0 94.0 82.0 
86.0 81.0 82.0 
77.0 76.0 68.0 
77.0 80.0 83.0 
78.0 85.0 88.0 
85.0 81.0 71.0 
73.0 76.0 82.0 
88.0 88.0 89.0 
85.0 82.0 74.0 
75.0 88.0 80.0 
91.0 84.0 84.0 
89.0 81.0 98.0 
72.0 82.0 86.0 
84.0 83.0 95.0 
94.0 72.0 78.0 
78.0 81.0 68.0 
93.0 79.0 84.0 
76.0 71.0 87.0 
80.0 81.0 80.0 
85.0 76.0 95.0 
78.0 70.0 86.0 
89.0 78.0 87.0 
88.0 80.0 103.0 
71.0 83.0 96.0 
70.0 80.0 94.0 
87.0 70.0 78.0 
76.0 71.0 93.0 
80.0 74.0 80.0 
69.0 84.0 73.0 
77.0 95.0 78.0 
66.0 92.0 82.0 
83.0 78.0 82.0 
66.0 86.0 79.0 
81.0 72.0 89.0 
84.0 81.0 80.0 
78.0 84.0 69.0 
79.0 92.0 84.0 
68.0 78.0 61.0 
86.0 79.0 73.0 
84.0 76.0 83.0 
73.0 82.0 68.0 
77.0 81.0 85.0 
66.0 76.0 81.0 
81.0 77.0 71.0 
73.0 91.0 71.0 
84.0 73.0 78.0 
89.0 86.0 82.0 
96.0 69.0 87.0 
89.0 70.0 75.0 
80.0 77.0 83.0 
86.0 86.0 94.0 
71.0 97.0 86.0 
90.0 89.0 72.0 
