1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
I,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,50,50,70,70,70,70,70
J,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,50,50,50,50,50
instance,130.txt,130.txt,130.txt,130.txt,130.txt,130.txt,130.txt,130.txt,130.txt,235.txt,235.txt,235.txt,235.txt,235.txt,235.txt,235.txt,235.txt,235.txt,404.txt,404.txt,404.txt,404.txt,404.txt
method,nlp,iter_cuts,lazy_cuts,benders,bendersWS,bendersMG,bendersPK,heur_NM,heur_FB,nlp,iter_cuts,lazy_cuts,benders,bendersWS,bendersMG,bendersPK,heur_NM,heur_FB,nlp,iter_cuts,lazy_cuts,benders,bendersWS
of,895.9974,895.9938 - 895.9986,895.9974,895.9974,895.9974,896.7048,895.9974,895.1981,936.0706,2136.2164,2136.2056 - 2136.2184,2136.2164,2136.2161,2136.2163,2136.2154,2135.7622,2146.2458,2484.7253,6476.0951,6473.8293 - 6473.8854,6473.8752,6300.1382,6295.4277
FC,394.1035,394.1035 - 394.1035,394.1035,394.1035,394.1035,394.1035,394.1035,394.1035,424.73,761.9652,761.9652 - 761.9652,761.9652,761.9652,761.9652,761.9652,761.9652,767.348,1246.9171,5017.8601,5017.8601 - 5017.8601,5017.8601,4886.5989,4872.7793
AC,501.3761,501.3813 - 501.3813,501.3766,501.3747,501.3748,501.3749,501.3766,500.9619,511.2167,1370.4706,1370.462 - 1370.462,1370.4727,1370.4692,1370.4702,1370.4678,1370.487,1374.7207,1225.9634,1441.2734,1441.3868 - 1441.3868,1441.3593,1456.0446,1458.6786
CC,0.5178,0.509 - 0.5138,0.5173,0.5191,0.5191,0.519,0.5173,0.1647,0.1239,3.7806,3.7783 - 3.7912,3.7785,3.782,3.781,3.7833,3.7594,4.1821,11.8448,16.9615,14.5825 - 14.6385,14.6558,769.2961,1042.8099
y,"[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[2, 1, 2]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 5, 0, 5, 0, 0, 5, 0]","[1, 0, 1, 0, 1, 5, 1, 0, 1, 3]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 1, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 4]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 1, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 4]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 1, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 4]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 5, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 0]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]"
CPU_t_s,0.343,0.172,0.031,0.735,0.749,1.906,1.173,1.937,0.235,39.89,10.922,3.375,12.422,7.687,8.063,6.203,49.86,2.499,10799.031,2449.235,739.125,1818.5,195.609
status,optimal,optimal,optimal,optimal,optimal,optimal,optimal,none,none,optimal,optimal,optimal,optimal,optimal,optimal,optimal,none,none,tlim,optimal,optimal,optimal,optimal
