,,,,,,,,,,,,,,,,
I,20,,,,50,,,,70,,,,90,,,
J,3,,,,10,,,,50,,,,10,,,
instance,130.txt,,,,235.txt,,,,404.txt,,,,600.txt,,,
method,benders,bendersWS,bendersMG,bendersPK,benders,bendersWS,bendersMG,bendersPK,benders,bendersWS,bendersMG,bendersPK,benders,bendersWS,bendersMG,bendersPK
of,895.9974,895.9974,895.9974,895.9974,2136.2162,2136.2159,2173.2841,2136.216,6328.2388,6320.6631,6547.6555,6333.501,74561.0497,74561.0465,75745.9113,74561.0494
FC,394.1035,394.1035,394.1035,394.1035,761.9652,761.9652,791.6755,761.9652,4872.7793,4872.7793,5090.0755,4879.4955,23586.6247,23586.6244,25956.2049,23586.6244
AC,501.3749,501.3756,501.3749,501.3756,1370.4725,1370.4704,1371.6707,1370.4739,1458.6971,1458.6821,1452.3832,1466.0148,50953.9492,50953.9193,49769.0286,50953.9543
CC,0.519,0.5183,0.519,0.5183,3.7787,3.7807,3.8831,3.7773,485.4147,1212.7902,712.1333,635.2153,20.4754,20.506,20.6799,20.4712
y,"[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[2, 0, 0, 5, 0, 5, 0, 0, 4, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 1, 4, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 5, 0, 0, 0, 0, 0, 5, 5, 0]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[1, 0, 5, 4, 4, 4, 0, 2, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]"
nodes,1,1,1,1,2597,2333,617,1698,23282,25252,2813,25951,1618,5799,1095,2284
f_cut,0,0,0,0,0,0,0,0,762,665,23,822,0,0,0,0
opt_cut,99,120,186,201,737,330,534,1091,2646,1898,156,4831,540,375,378,863
CPU_t_s,0.141,0.328,0.64,0.203,8.093,5.344,12.125,9.25,251.311,156.923,17.547,495.453,5.922,6.265,9.203,7.109
status,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
