,,,,,,,,,,
I,20,,,,,,,,,
J,3,,,,,,,,,
cv,1.5,,,,,,,,,
D,72500,,,,,,,,,
instance,6.txt,,,,,,,,,
method,iter_cuts,lazy_cuts,benders,bendersWS1,bendersWS2,bendersMW,bendersPK,bendersSH,heur_NM,heur_FB
of,1914.4699 - 1914.487,1914.4834,1914.4836,1914.4834,1914.4834,1914.4837,1914.4833,1914.4455,1913.6877,2124.2024
FC,660.1081 - 660.1081,660.1081,660.1081,660.1081,660.1081,660.1081,660.1081,660.1081,660.1081,781.6869
AC,829.1098 - 828.5204,828.7458,828.7051,828.7136,828.7136,828.7451,828.7076,828.6774,828.8465,910.3993
CC,425.252 - 425.8585,425.6295,425.6705,425.6617,425.6617,425.6305,425.6675,425.6913,425.507,432.1162
y,"[5, 3, 0]","[5, 3, 0]","[5, 3, 0]","[5, 3, 0]","[5, 3, 0]","[5, 3, 0]","[5, 3, 0]","[5, 3, 0]","[5, 3, 0]","[5, 0, 3]"
CPU_t_s,16.75,1.546,4.062,0.766,1.578,6.125,0.812,1.469,0.734,0.062
status,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,none,none
congestion cost over total cost,,22%,22%,22%,22%,22%,22%,22%,22%,20%
diff with lazy_cuts,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.0%
,,,,,,,,,,
,,,,,,,,,,
I,70,,,,,,,,,
J,10,,,,,,,,,
cv,0.5,,,,,,,,,
D,72500,,,,,,,,,
instance,8.txt,,,,,,,,,
method,iter_cuts,lazy_cuts,benders,bendersWS1,bendersWS2,bendersMW,bendersPK,bendersSH,heur_NM,heur_FB
of,3649.0153 - 3649.0387,3649.0341,3659.661,3649.0342,3662.4795,3667.2824,3649.034,3661.2254,3783.025,3669.4366
FC,1705.6408 - 1705.6408,1705.6408,1834.5842,1705.6408,1736.3144,1474.6436,1705.6408,1492.2411,1724.1817,1481.4411
AC,1523.3292 - 1523.3292,1523.3316,1458.1169,1523.3929,1509.9641,1711.5073,1523.3047,1683.8643,1696.3431,1704.1567
CC,420.0453 - 420.0686,420.0617,366.9596,420.0005,416.2013,481.1318,420.0884,485.3525,362.5137,483.8388
y,"[0, 0, 0, 0, 3, 4, 4, 4, 0, 5]","[0, 0, 0, 0, 3, 4, 4, 4, 0, 5]","[0, 0, 0, 0, 4, 0, 4, 4, 4, 5]","[0, 0, 0, 0, 3, 4, 4, 4, 0, 5]","[0, 0, 0, 0, 3, 4, 3, 5, 0, 5]","[0, 0, 0, 0, 0, 5, 5, 4, 0, 5]","[0, 0, 0, 0, 3, 4, 4, 4, 0, 5]","[0, 0, 0, 4, 0, 5, 0, 5, 0, 5]","[4, 0, 0, 0, 3, 5, 4, 0, 0, 5]","[0, 4, 0, 0, 0, 5, 0, 5, 0, 5]"
CPU_t_s,36.328,30.266,10745.718,10791.672,10790.25,10787.344,10790.5,10787.921,13.39,1.219
status,optimal,optimal,tlim,tlim,tlim,tlim,tlim,tlim,none,none
congestion cost over total cost,,11.5%,10.0%,11.5%,11.4%,13.1%,11.5%,13.3%,9.6%,13.2%
diff with lazy_cuts,,0.0%,0.3%,0.0%,0.4%,0.5%,0.0%,0.3%,3.7%,0.6%
