1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
I,20,20,20,20,20,20,20,20,20,70,70,70,70,70,70,70,70,70,250,250,250,250,250,250,250,250,250,1250,1250,1250,1250,1250,1250,1250,1250,1250
J,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,25,25,25,25,25,25,25,25,25,95,95,95,95,95,95,95,95,95
cv,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
D,1200,1200,1200,1200,1200,1200,1200,1200,1200,4000,4000,4000,4000,4000,4000,4000,4000,4000,1200,1200,1200,1200,1200,1200,1200,1200,1200,4000,4000,4000,4000,4000,4000,4000,4000,4000
instance,5.txt,5.txt,5.txt,5.txt,5.txt,5.txt,5.txt,5.txt,5.txt,10.txt,10.txt,10.txt,10.txt,10.txt,10.txt,10.txt,10.txt,10.txt,13.txt,13.txt,13.txt,13.txt,13.txt,13.txt,13.txt,13.txt,13.txt,24.txt,24.txt,24.txt,24.txt,24.txt,24.txt,24.txt,24.txt,24.txt
method,benders,bendersWS1,bendersWS2,bendersMW,bendersPK,bendersSH,bendersFC,heur_NM,heur_FB,benders,bendersWS1,bendersWS2,bendersMW,bendersPK,bendersSH,bendersFC,heur_NM,heur_FB,benders,bendersWS1,bendersWS2,bendersMW,bendersPK,bendersSH,bendersFC,heur_NM,heur_FB,benders,bendersWS1,bendersWS2,bendersMW,bendersPK,bendersSH,bendersFC,heur_NM,heur_FB
of,933.1549,933.1549,error,933.1549,933.1549,933.1422,872.3824,930.938,933.005,2944.2784,2944.2784,error,2944.2783,2944.2784,2917.4261,2797.6695,2948.1073,2961.7029,6350.4696,6506.0542,error,error,6580.3342,6293.1709,error,5489.6643,6883.0802,23790.1062,24116.7286,error,24483.0017,24337.0963,24347.4808,18248.7129,23012.9715,23200.5705
FC,397.6363,397.6363,,397.6363,397.6363,397.6363,379.3824,397.6363,397.6363,1407.9905,1407.9905,,1407.9905,1407.9905,1342.9236,1371.6547,1451.6453,1491.3664,2772.1859,3131.8109,,,3009.6089,2769.2517,,2462.8865,3541.3204,14058.2625,13545.7753,,13916.9516,14205.6812,13304.1394,10196.3878,12737.6528,13681.9948
AC,504.1007,504.098,,504.098,504.0958,504.0943,496.1135,504.1139,504.0272,1454.3328,1454.3161,,1454.322,1454.3444,1521.1161,1461.874,1416.366,1391.6271,3858.3571,4079.0004,,,3623.8938,4435.2159,,2865.2543,3295.8391,9622.343,10375.1359,,10469.7325,10013.0144,10905.3967,13997.7748,10056.8245,9273.486
CC,31.4179,31.4206,,31.4206,31.4228,31.4225,93.5726,31.3877,31.3414,81.9552,81.9717,,81.9659,81.9435,149.1765,150.2398,80.0971,78.7094,3966.2995,3266.5762,,,58.6068,3178.3578,,161.5363,45.9207,109.5018,195.8215,,96.32,110.388,138.946,911.2014,218.4942,245.0897
