1,2,3,4,5,6,7,8,9,10,11,12
I,70,70,70,70,70,70,70,70,70,70,70
J,10,10,10,10,10,10,10,10,10,10,10
cv,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
D,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500
instance,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt
method,iter_cuts,lazy_cuts,benders,bendersWS1,bendersWS2,bendersMW,bendersPK,bendersSH,bendersFC,heur_NM,heur_FB
of,3649.0153 - 3649.0387,3649.0341,3663.5146,3661.4792,3663.5146,3667.2824,3649.034,3661.2254,3011.4731,3659.6597,3661.1139
FC,1705.6408 - 1705.6408,1705.6408,1546.3082,1492.2411,1546.3082,1474.6436,1705.6408,1492.2411,1358.733,1834.5842,1492.2411
AC,1523.3292 - 1523.3292,1523.3316,1715.1574,1683.8419,1715.1745,1711.4987,1523.3806,1683.7459,1605.601,1458.1103,1683.0843
CC,420.0453 - 420.0686,420.0617,402.0493,485.3965,402.0319,481.1401,420.0128,485.4709,1996.9222,366.9662,485.7884
y,"[0, 0, 0, 0, 3, 4, 4, 4, 0, 5]","[0, 0, 0, 0, 3, 4, 4, 4, 0, 5]","[0, 0, 0, 0, 0, 5, 5, 5, 0, 5]","[0, 0, 0, 4, 0, 5, 0, 5, 0, 5]","[0, 0, 0, 0, 0, 5, 5, 5, 0, 5]","[0, 0, 0, 0, 0, 5, 5, 4, 0, 5]","[0, 0, 0, 0, 3, 4, 4, 4, 0, 5]","[0, 0, 0, 4, 0, 5, 0, 5, 0, 5]","[0, 1, 0, 0, 0, 4, 1, 4, 0, 5]","[0, 0, 0, 0, 4, 0, 4, 4, 4, 5]","[0, 0, 0, 4, 0, 5, 0, 5, 0, 5]"
CPU_t_s,45.578,32.579,10710.859,10787.656,1.8446743998094848e13,10706.484,5235.063,10790.906,22.657,15.187,2.422
status,optimal,optimal,tlim,tlim,tlim,tlim,optimal,tlim,optimal,none,none
