1,2,3,4,5
I,70,70,70,70
J,10,10,10,10
cv,0.5,0.5,0.5,0.5
D,72500,72500,72500,72500
instance,8.txt,8.txt,8.txt,8.txt
method,benders,bendersMW,bendersPK,bendersSH
of,3663.5146,3667.2824,3649.034,3661.2254
FC,1546.3082,1474.6436,1705.6408,1492.2411
AC,1715.1574,1711.4987,1523.3806,1683.7459
CC,402.0493,481.1401,420.0128,485.4709
y,"[0, 0, 0, 0, 0, 5, 5, 5, 0, 5]","[0, 0, 0, 0, 0, 5, 5, 4, 0, 5]","[0, 0, 0, 0, 3, 4, 4, 4, 0, 5]","[0, 0, 0, 4, 0, 5, 0, 5, 0, 5]"
nodes,662955,109787,314373,616234
f_cut,0,0,0,0
opt_cut,27172,29138,25177,27300
CPU_t_s,10710.859,10706.484,5235.063,10790.906
status,tlim,tlim,optimal,tlim
