I,250,250,250,250,250,250
J,10,10,10,10,10,10
cv,0.5,0.5,1,1,1.5,1.5
D,550000,725000,550000,725000,550000,725000
instance,13.txt,14.txt,15.txt,16.txt,17.txt,18.txt
method,lazy_cuts,lazy_cuts,lazy_cuts,lazy_cuts,lazy_cuts,lazy_cuts
of,7132.6424,7178.1677,7674.5067,7392.5816,7662.6214,7555.2078
FC,1560.4524,1800.0766,1718.4482,1698.7285,1864.6526,2397.9837
AC,5029.5332,4746.5841,5343.1969,4921.5434,5091.9037,4267.848
CC,542.6568,631.507,612.8617,772.3097,706.0651,889.3761
y,"[5, 0, 0, 3, 5, 4, 3, 0, 4, 0]","[3, 5, 5, 4, 0, 5, 0, 0, 0, 3]","[4, 5, 0, 4, 0, 0, 3, 4, 4, 0]","[5, 5, 0, 0, 1, 5, 5, 5, 4, 4]","[3, 0, 0, 0, 5, 0, 5, 5, 5, 4]","[0, 5, 4, 0, 5, 5, 3, 5, 4, 0]"
CPU_t_s,10.984,23.485,38.922,17.452,38.265,23.516
status,optimal,optimal,optimal,optimal,optimal,optimal
,8%,9%,8%,10%,9%,12%
